,count,mean,std,min,25%,50%,75%,max
avg_unique_cmds_per_ms,69.0,2.871980274154187,0.5901028760188887,1.6666666666666667,2.4444444444444446,2.9,3.3636363636363638,4.555555555555555
min_unique_cmds_per_ms,69.0,1.173913043478261,0.3818115387869978,1.0,1.0,1.0,1.0,2.0
max_unique_cmds_per_ms,69.0,6.971014492753623,2.281453448576623,2.0,6.0,7.0,9.0,12.0
max_cmd_rep,69.0,4.579710144927536,12.492828292195403,1.0,2.0,2.0,3.0,85.0
cmds_per_minute,69.0,0.034216631054517055,0.018772578934326784,3.306635314865163e-05,0.023174603174603174,0.03230586840545347,0.04617713853141559,0.10335448776065277
avg_cmd_gap,69.0,633.1649997123797,4680.894602559722,9.761061946902656,22.35593220338983,30.76923076923077,40.21739130434783,38882.57142857143
avg_cmds_per_ms,69.0,6.273253196079283,4.322736508470928,1.8333333333333333,3.909090909090909,5.111111111111111,7.2,28.25
min_cmds_per_ms,69.0,1.2463768115942029,0.5532204406246922,1.0,1.0,1.0,1.0,4.0
max_cmds_per_ms,69.0,23.434782608695652,19.44787774666184,3.0,12.0,19.0,30.0,98.0
avg_time_to_ms,69.0,3397.468582343582,21759.06431240746,135.66666666666666,418.1818181818182,591.6,819.9230769230769,181404.66666666666
min_time_to_ms,69.0,26.6231884057971,59.985317186123666,0.0,0.0,0.0,16.0,323.0
max_time_to_ms,69.0,5769.95652173913,32595.24448147161,229.0,1085.0,1446.0,2026.0,272178.0
avg_ms_gap,69.0,1514.5507246376812,10899.53193077066,52.0,115.0,160.0,212.0,90726.0
avg_errors_per_ms,69.0,0.5868786205742728,0.5987079463907911,0.0,0.23076923076923078,0.4444444444444444,0.7272727272727273,3.4444444444444446
max_errors_per_ms,69.0,3.1449275362318843,3.396691133505737,0.0,1.0,2.0,4.0,23.0
struggled,69.0,0.2028985507246377,0.40510384089716245,0.0,0.0,0.0,0.0,1.0
